event,date,division,round,bout_no,boxer_a,country_a,boxer_b,country_b,winner,result,date_raw,date_source,page
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Quarterfinals,,WANUKAGA ALVIN,SWE,SABYRKHAN MAKHMUD,KAZ,SABYRKHAN MAKHMUD,WP 5:0,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Quarterfinals,,PENG CHIA-FENG,TPE,MANDENGBAM JADUMANI SINGH,IND,MANDENGBAM JADUMANI SINGH,WP 5:0,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Quarterfinals,,BARTWAL PAWAN,IND,TROWBRIDGE ELLIS,ENG,TROWBRIDGE ELLIS,WP 3:2,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Quarterfinals,,BORANBEK BEXULTAN,KAZ,TOMINES MAXIMUS,CAN,TOMINES MAXIMUS,WP 5:0,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Semifinals,,SABYRKHAN MAKHMUD,KAZ,MANDENGBAM JADUMANI SINGH,IND,SABYRKHAN MAKHMUD,WP 5:0,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Semifinals,,TROWBRIDGE ELLIS,ENG,TOMINES MAXIMUS,CAN,TROWBRIDGE ELLIS,WP 3:2,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 55 Kg (EM-55 kg),Final,,SABYRKHAN MAKHMUD,KAZ,TROWBRIDGE ELLIS,ENG,SABYRKHAN MAKHMUD,RSC-I R2,SÁ. 7 FEB. 2026,As of line,43
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Preliminaries,,TEMIRZHANOV SERIK,KAZ,,,TEMIRZHANOV SERIK,Bye,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Preliminaries,,AL CHABTUN MAHMOUD,NED,AL AHMADIEH KEOMA-ALI,CAN,AL AHMADIEH KEOMA-ALI,WP 5:0,SÁ. 7 FEB. 2026,As of line,44
BOXAM ELITE 2026 - LA NUCÍA,2026-02-07,Elite Men - 60 Kg (EM-60 kg),Preliminaries,,MOHAMMED HUSSAM UDDIN,IND,BÜYÜKDEMIR MATIAS MEHMET,DEN,MOHAMMED HUSSAM UDDIN,WP 4:1,SÁ. 7 FEB. 2026,As of line,44
