event,date,division,rank,name,country,date_raw,date_source,page
Commonwealth Games,2026-08-01,Men's 55kg,5,MWALE Mwengo,ZAM,SAT 1 AUG 2026,As of line,51
Commonwealth Games,2026-08-01,Men's 55kg,5,TROWBRIDGE Ellis,ENG,SAT 1 AUG 2026,As of line,51
Commonwealth Games,2026-08-01,Men's 55kg,5,MUKUKA Alex,NZL,SAT 1 AUG 2026,As of line,51
Commonwealth Games,2026-08-01,Men's 60kg,1,SACHIN Sachin,IND,SAT 1 AUG 2026,As of line,52
Commonwealth Games,2026-08-01,Men's 60kg,2,NDEVELO Tryagain Morning,NAM,SAT 1 AUG 2026,As of line,52
Commonwealth Games,2026-08-01,Men's 60kg,3,HARRIS-ALLAN Owain,WAL,SAT 1 AUG 2026,As of line,52
Commonwealth Games,2026-08-01,Men's 60kg,3,GALLAGHER Jude,NIR,SAT 1 AUG 2026,As of line,52
Commonwealth Games,2026-08-01,Men's 60kg,5,MOREMI Treasure,BOT,SAT 1 AUG 2026,As of line,52
Commonwealth Games,2026-08-01,Men's 60kg,5,ADAMS Niall,GGY,SAT 1 AUG 2026,As of line,52
Commonwealth Games,2026-08-01,Men's 60kg,5,DEVLIN Nicholas,SCO,SAT 1 AUG 2026,As of line,52
Commonwealth Games,2026-08-01,Men's 60kg,5,NGULUBE Albert,ZAM,SAT 1 AUG 2026,As of line,52
Commonwealth Games,2026-08-01,Men's 65kg,1,MUGHLAZAI Patris,ENG,SAT 1 AUG 2026,As of line,53
Commonwealth Games,2026-08-01,Men's 65kg,2,CASSAR Jacob,AUS,SAT 1 AUG 2026,As of line,53
Commonwealth Games,2026-08-01,Men's 65kg,3,KATEMA Emmanuel,ZAM,SAT 1 AUG 2026,As of line,53
Commonwealth Games,2026-08-01,Men's 65kg,3,KHOAHLI Pooana,LES,SAT 1 AUG 2026,As of line,53
Commonwealth Games,2026-08-01,Men's 65kg,5,BATTE Nuhu,UGA,SAT 1 AUG 2026,As of line,53
Commonwealth Games,2026-08-01,Men's 65kg,5,LABRIE Gabriel,CAN,SAT 1 AUG 2026,As of line,53
Commonwealth Games,2026-08-01,Men's 65kg,5,BONZO Elias,MAW,SAT 1 AUG 2026,As of line,53
Commonwealth Games,2026-08-01,Men's 65kg,5,AGATHE Ziggy,MRI,SAT 1 AUG 2026,As of line,53
Commonwealth Games,2026-08-01,Men's 70kg,1,McCONNELL Jon,NIR,SAT 1 AUG 2026,As of line,54
