Weight Category,Rank,Boxer,Seed,Team Code
Elite Women - 60 Kg (EW-60kg),2,DOVHAL TETIANA,,UKR
Elite Women - 65 Kg (EW-65kg),2,SERIK NAZERKE,,KAZ
Elite Women - 60 Kg (EW-60kg),3,SOMNUEK THANANYA,,THA
Elite Women - 65 Kg (EW-65kg),3,YADAV PRANJAL,,IND
Elite Women - 60 Kg (EW-60kg),5,GALANO LOPEZ LAURA,,ESP
Elite Women - 65 Kg (EW-65kg),5,MERINOVA NATALIIA,,UKR
Elite Women - 60 Kg (EW-60kg),5,BAIDUKOVA VIKTORIYA,,KAZ
Elite Women - 65 Kg (EW-65kg),5,SOTO TORRES MARIANA,,ESP
Elite Women - 60 Kg (EW-60kg),5,GRAFEYEVA YEVGENIYA,,KAZ
Elite Women - 65 Kg (EW-65kg),5,ICHSHANOVA AKNAR,,KAZ
Elite Women - 60 Kg (EW-60kg),5,PATIL DISHA VIJAY,,IND
Elite Women - 65 Kg (EW-65kg),5,JILKOVÁ VIKTORIE,,CZE
Elite Women - 60 Kg (EW-60kg),9,MANSUETTO ALESSIA,,CAN
Elite Women - 65 Kg (EW-65kg),9,HOPPEMA AALIYAH,,NED
Elite Women - 60 Kg (EW-60kg),9,NOVICEUR LISA,,FRA
Elite Women - 65 Kg (EW-65kg),9,JENNI ANNA,,SUI
Elite Women - 70 Kg (EW-70kg),1,CHOURDHARY ARUNDHATI,,IND
Elite Women - 75 Kg (EW-75kg),1,BORGOHAIN LOVLINA,,IND
Elite Women - 70 Kg (EW-70kg),2,TARAN ANASTASIIA,,UKR
Elite Women - 75 Kg (EW-75kg),2,SMITH MARY-KATE,,ENG
Elite Women - 70 Kg (EW-70kg),3,MARTINEZ MAS DUNIA,,ESP
Elite Women - 75 Kg (EW-75kg),3,ECCLES ROSIE,,WAL
Elite Women - 70 Kg (EW-70kg),3,BADIN ANDREA,,FRA
Elite Women - 75 Kg (EW-75kg),3,THOKCHOM SANAMACHA CHANU,,IND
Elite Women - 70 Kg (EW-70kg),5,ISSINA AZIZA,,KAZ
Elite Women - 75 Kg (EW-75kg),5,PYLYPCHUK OLHA,,UKR
Elite Women - 70 Kg (EW-70kg),5,LOPEZ MOTA LORENA,,ESP
Elite Women - 75 Kg (EW-75kg),5,GARCIA ADAME ALMA,,ESP
Elite Women - 70 Kg (EW-70kg),5,MONTEMIGLIO MAEVA,,CAN
Elite Women - 75 Kg (EW-75kg),5,SOKOLOVSKA ANASTASIYA,,ESP
Elite Women - 70 Kg (EW-70kg),5,SNEHA,,IND
Elite Women - 75 Kg (EW-75kg),5,PENNEY VIKTORIA,,CAN
Elite Women - 80 Kg (EW-80kg),1,NAINA,,IND
Elite Women + 80 Kg (EW+80kg),1,SADYKOVA UMIDA,,KAZ
Elite Women - 80 Kg (EW-80kg),2,PISKUN RAISA,,UKR
Elite Women + 80 Kg (EW+80kg),2,SEIITKAHNKYZY PANAR,,KAZ
Elite Women - 80 Kg (EW-80kg),3,SADYKOVA GUZAL,,KAZ
Elite Women + 80 Kg (EW+80kg),3,MANKIRAT KAUR,,IND
Elite Women + 80 Kg (EW+80kg),3,GULLEN ORTIZ TINDAYA LUCIA,,ESP
